Season,Show Title,Resturant,City,State,Business ID,Rating,# of Reviews,Latitude,Longitude
2,The New Jersey Diner Tour,Hightstown Diner,Hightstown,New Jersey,Hightstown-Diner-Hightstown,3,44,-74.5232089,40.2695538
2,The New Jersey Diner Tour,Skylark Diner,Edison,New Jersey,Skylark-Diner-Edison,3.5,314,-74.4120953,40.5187154
2,The New Jersey Diner Tour,Jefferson Diner,Lake Hopatcong,New Jersey,Jefferson-Diner-Lake-Hopatcong,3.5,129,-74.6327236,40.9503131
3,Big Breakfast,Brownstone Diner,Jersey City,New Jersey,Brownstone-Diner-And-Pancake-Factory-Jersey-City,3.5,767,-74.0776417,40.7281575
3,Big Breakfast,39th Street Mamas,Kansas City,Missouri,39th-Street-Mamas-Kansas-City,Closed,Closed,-94.5785667,39.0997265
3,Big Breakfast,Matts Big Breakfast,Phoenix,Arizona,Matts-Big-Breakfast-Phoenix,4,728,-112.0740373,33.4483771
3,Like Mamma Made,Robertos Mexican Food,Phoenix,Arizona,Robertos-Mexican-Food-Phoenix,4,148,-112.0740373,33.4483771
3,Like Mamma Made,Smokey Valley Truck Stop,Olive Hill,Kentucky,Smokey-Valley-Truck-Stop-Olive-Hill,3.5,22,-83.1740654,38.3000809
3,Like Mamma Made,Sweetie Pies,Saint Louis,Missouri,Sweetie-Pies-Saint-Louis,3.5,19,-90.1994042,38.6270025
3,Regional Favorites,Charlie Parkers,Springfield,Illinois,Charlie-Parkers-Springfield,4,124,-72.589811,42.1014831
3,Regional Favorites,Tecolote Cafe,Santa Fe,New Mexico,Tecolote-Cafe-Santa-Fe,4,186,-105.937799,35.6869752
3,Regional Favorites,Virginia Diner,Wakefield,Virginia,Virginia-Diner-Wakefield,3.5,62,-76.989683,36.968206
3,Neighborhood Joints,Thee Pitts Again,Glendale,Arizona,Thee-Pitts-Again-Glendale,3,197,-118.255075,34.1425078
3,Neighborhood Joints,Iron Barley,Saint Louis,Missouri,Iron-Barley-Eating-Establishment-Saint-Louis,4,275,-90.1994042,38.6270025
3,Neighborhood Joints,Daddypops,Hatboro,Pennsylvania,Daddypops-Hatboro,4,89,-75.1068388,40.1742757
3,Neighborhood Joints,The Village Cafe,Richmond,Virginia,The-Village-Cafe-Richmond,3.5,144,-77.4360481,37.5407246
3,A World of Flavors,Chino Bandido,Phoenix,Arizona,Chino-Bandido-Phoenix,4,830,-112.0740373,33.4483771
3,A World of Flavors,Marietta Diner,Marietta,Georgia,Marietta-Diner-Marietta,4,579,-84.5499327,33.952602
3,A World of Flavors,YJs Snack Bar,Kansas City,Missouri,YJs-Snack-Bar-Kansas-City,4,100,-94.5785667,39.0997265
3,Something Different,Scullys Tavern,Miami,Florida,Scullys-Tavern-Miami,4,117,-80.1917902,25.7616798
3,Something Different,Dots Back Inn,Richmond,Virginia,Dots-Back-Inn-Richmond,4,184,-77.4360481,37.5407246
3,Something Different,Hillbilly Hot Dogs,Lesage,West Virginia,Hillbilly-Hot-Dogs-Lesage,4.5,47,-82.2984823,38.5064731
